# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 1
# model = KATRIN
# method = sample (Default)
#   sample
#     num_samples = 600
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 4
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = data.R
# init = 2 (Default)
# random
#   seed = 1513717717
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mass,endpoint,A_sig,A_bkg,B_A,B_S,B_max,A1,A2,w1,w2,e2,sigma
-103.188,0.545402,0.00192485,4,15,0,115.699,0.218178,18574,4.26064,1.01139,2.69635,25218.6,41629,0.200253,0.0560678,1.86619,12.3459,14.3669,3.63142
-108.434,0.817154,0.00120732,4,15,0,111.746,0.216783,18574,0.76218,1.01139,2.69623,25219.1,41628.7,0.200255,0.0560651,1.86588,12.3474,14.3672,3.63209
-103.941,0.947357,0.00130533,4,15,0,113.104,0.220233,18574,3.77902,1.01162,2.69624,25218.8,41629.4,0.200245,0.056064,1.86617,12.3454,14.367,3.63239
-101.032,0.976981,0.00182412,4,15,0,109.31,0.214392,18574,3.11623,1.01072,2.69613,25216.4,41629.2,0.200238,0.0560713,1.86641,12.3485,14.3665,3.62895
-103.763,0.114954,0.00269304,2,5,0,106.776,0.214407,18574,1.61452,1.01075,2.69617,25216.2,41629.4,0.200237,0.0560735,1.86626,12.3494,14.3665,3.62901
-100.977,0.988554,0.000731587,4,15,0,107.425,0.21416,18574,3.0174,1.0107,2.6962,25216.2,41630,0.200237,0.0560739,1.86603,12.3499,14.3665,3.62908
-101.506,0.954361,0.00110502,4,15,0,107.201,0.215262,18574,4.0812,1.01088,2.69646,25214,41629.9,0.20024,0.0560712,1.86572,12.352,14.3665,3.62751
-101.181,0.997141,0.00155562,4,15,0,108.54,0.214552,18574,3.60667,1.01106,2.69643,25215.1,41629.6,0.200237,0.0560799,1.86589,12.3513,14.3664,3.62762
-101.515,0.308495,0.00237073,2,7,1,106.823,0.21408,18574,3.06484,1.01108,2.69635,25216.2,41629.5,0.200239,0.0560843,1.86632,12.3511,14.3664,3.62751
-101.817,0.982447,0.000957063,4,15,0,107.863,0.214138,18574,4.24612,1.0112,2.69644,25217.3,41628.8,0.200232,0.0560836,1.86623,12.3511,14.3664,3.62667
